Age,Income,Monthly Expenses,Existing Investments,Assets,Financial Goals,Risk Tolerance,Family Size,Debt Obligations,Hobbies/Interests
38,6500,3200,55000,110000,Retirement,Medium,3,20000,"Reading, gardening"
32,5500,2800,40000,70000,Buying a house,Medium,2,10000,"Cycling, cooking"
47,8800,4200,80000,170000,Retirement,Medium,5,40000,"Traveling, golf"
34,5800,3000,50000,90000,Education,Low,2,15000,"Photography, reading"
51,11000,5000,120000,250000,Retirement,High,6,45000,"Fishing, gardening"
40,7000,3500,60000,120000,Retirement,Medium,5,30000,"Traveling, painting"
33,5800,2800,40000,80000,Education,Medium,2,12000,"Yoga, reading"
48,9500,4500,90000,200000,Retirement,Medium,4,35000,"Golf, cooking"
35,6000,3000,50000,100000,Buying a house,Medium,3,20000,"Hiking, painting"
52,10500,5000,130000,270000,Retirement,High,6,60000,"Traveling, cooking"
41,7200,3600,60000,130000,Retirement,Medium,4,25000,"Reading, gardening"
36,6200,3300,55000,100000,Education,Medium,4,25000,"Cooking, gardening"
31,5300,2600,35000,60000,Retirement,Low,2,10000,"Reading, painting"
46,9000,4200,80000,180000,Retirement,Medium,5,40000,"Traveling, photography"
35,6000,3000,50000,100000,Buying a house,Medium,3,20000,"Hiking, cycling"
37,6400,3100,50000,100000,Retirement,Medium,4,25000,"Gardening, yoga"
53,11000,4800,130000,260000,Retirement,High,6,50000,"Golf, reading"
39,6700,3400,60000,110000,Buying a house,Medium,4,30000,"Cooking, hiking"
30,4800,2500,30000,50000,Retirement,Low,2,15000,"Painting, gaming"
43,7800,3800,70000,140000,Retirement,High,3,35000,"Traveling, photography"
38,6500,3200,55000,110000,Retirement,Medium,3,20000,"Reading, gardening"
32,5500,2800,40000,70000,Buying a house,Medium,2,10000,"Cycling, cooking"
47,8800,4200,80000,170000,Retirement,Medium,5,40000,"Traveling, golf"
34,5800,3000,50000,90000,Education,Low,2,15000,"Photography, reading"
51,11000,5000,120000,250000,Retirement,High,6,45000,"Fishing, gardening"
40,7000,3500,60000,120000,Retirement,Medium,5,30000,"Traveling, painting"
33,5800,2800,40000,80000,Education,Medium,2,12000,"Yoga, reading"
48,9500,4500,90000,200000,Retirement,Medium,4,35000,"Golf, cooking"
35,6000,3000,50000,100000,Buying a house,Medium,3,20000,"Hiking, painting"
52,10500,5000,130000,270000,Retirement,High,6,60000,"Traveling, cooking"
41,7200,3600,60000,130000,Retirement,Medium,4,25000,"Reading, gardening"
49,9800,4700,95000,210000,Retirement,Medium,5,40000,"Cooking, hiking"
40,7000,3500,60000,120000,Retirement,Medium,5,30000,"Traveling, painting"
36,6200,3300,55000,100000,Education,Medium,4,25000,"Cooking, gardening"
31,5300,2600,35000,60000,Retirement,Low,2,10000,"Reading, painting"
46,9000,4200,80000,180000,Retirement,Medium,5,40000,"Traveling, photography"
35,6000,3000,50000,100000,Buying a house,Medium,3,20000,"Hiking, cycling"
37,6400,3100,50000,100000,Retirement,Medium,4,25000,"Gardening, yoga"
53,11000,4800,130000,260000,Retirement,High,6,50000,"Golf, reading"
39,6700,3400,60000,110000,Buying a house,Medium,4,30000,"Cooking, hiking"
30,4800,2500,30000,50000,Retirement,Low,2,15000,"Painting, gaming"
43,7800,3800,70000,140000,Retirement,High,3,35000,"Traveling, photography"
38,6500,3200,55000,110000,Retirement,Medium,3,20000,"Reading, gardening"
32,5500,2800,40000,70000,Buying a house,Medium,2,10000,"Cycling, cooking"
47,8800,4200,80000,170000,Retirement,Medium,5,40000,"Traveling, golf"
34,5800,3000,50000,90000,Education,Low,2,15000,"Photography, reading"
51,11000,5000,120000,250000,Retirement,High,6,45000,"Fishing, gardening"
40,7000,3500,60000,120000,Retirement,Medium,5,30000,"Traveling, painting"
33,5800,2800,40000,80000,Education,Medium,3,15000,Drawing
35,6000,3000,50000,100000,Retirement,Medium,4,20000,"Reading, hiking"
28,4000,2000,20000,30000,Buying a house,Low,2,10000,"Painting, cooking"
45,8000,4000,70000,150000,Retirement,High,3,30000,"Traveling, gardening"
32,5500,2500,30000,50000,Education,Medium,2,15000,"Cycling, photography"
50,10000,4500,100000,200000,Retirement,Medium,5,40000,"Fishing, woodworking"
36,6200,3300,55000,100000,Buying a house,Medium,3,20000,"Cooking, gardening"
31,5300,2600,35000,60000,Retirement,Low,2,10000,"Reading, painting"
46,9000,4200,80000,180000,Retirement,Medium,5,40000,"Traveling, photography"
35,6000,3000,50000,100000,Buying a house,Medium,3,20000,"Hiking, cycling"
37,6400,3100,50000,100000,Retirement,Medium,4,25000,"Gardening, yoga"
53,11000,4800,130000,260000,Retirement,High,6,50000,"Golf, reading"
39,6700,3400,60000,110000,Buying a house,Medium,4,30000,"Cooking, hiking"
30,4800,2500,30000,50000,Retirement,Low,2,15000,"Painting, gaming"
43,7800,3800,70000,140000,Retirement,High,3,35000,"Traveling, photography"
38,6500,3200,55000,110000,Retirement,Medium,3,20000,"Reading, gardening"
32,5500,2800,40000,70000,Buying a house,Medium,2,10000,"Cycling, cooking"
47,8800,4200,80000,170000,Retirement,Medium,5,40000,"Traveling, golf"
34,5800,3000,50000,90000,Education,Low,2,15000,"Photography, reading"
51,11000,5000,120000,250000,Retirement,High,6,45000,"Fishing, gardening"

